Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Language of Original Document,Document Type,Access Type,Source,EID
"Shvachko K., Kuang H., Radia S., Chansler R.","The Hadoop distributed file system",2010,"2010 IEEE 26th Symposium on Mass Storage Systems and Technologies, MSST2010",,, 5496972,"","",,1914,10.1109/MSST.2010.5496972,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957838299&doi=10.1109%2fMSST.2010.5496972&partnerID=40&md5=964ca2584fceb98153b2ff0a0f3b3e7d","Distributed file system; Hadoop; HDFS","Application tasks; Data sets; Distributed file systems; Enterprise data; Hadoop; HDFS; High bandwidth; Large clusters; Petabytes; Very large datum","English",Conference Paper,,Scopus,2-s2.0-77957838299
"Vavilapalli V.K., Murthy A.C., Douglas C., Agarwal S., Konar M., Evans R., Graves T., Lowe J., Shah H., Seth S., Saha B., Curino C., O'Malley O., Radia S., Reed B., Baldeschwieler E.","Apache hadoop YARN: Yet another resource negotiator",2013,"Proceedings of the 4th Annual Symposium on Cloud Computing, SoCC 2013",,, 5,"","",,566,10.1145/2523616.2523633,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893249524&doi=10.1145%2f2523616.2523633&partnerID=40&md5=5794113a8b27dc18de2acdf7dff629f8",,"Cloud computing; Computer software; Design; Fault tolerance; Natural resources management; Resource allocation; Scheduling; Wool; Computational resources; Experimental evidence; Map-reduce programming; Production environments; Programming framework; Programming models; Resource management; Scheduling functions; Yarn","English",Conference Paper,,Scopus,2-s2.0-84893249524
"Thusoo A., Sarma J.S., Jain N., Shao Z., Chakka P., Zhang N., Antony S., Liu H., Murthy R.","Hive - A petabyte scale data warehouse using hadoop",2010,"Proceedings - International Conference on Data Engineering",,, 5447738,"996","1005",,447,10.1109/ICDE.2010.5447738,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952775707&doi=10.1109%2fICDE.2010.5447738&partnerID=40&md5=5d054437a4582fe6f636e94f10d0355d",,"Business intelligence; Commodity hardware; Data exploration; Data sets; Declarative Languages; Facebook; Large datasets; Low level; Open-source; Plug-ins; Primitive types; Programming models; Query compilation; Query optimization; Schemas; System catalogs; Type systems; Computer software reusability; Java programming language; Libraries; Linguistics; Retail stores; Social networking (online); Data warehouses","English",Conference Paper,,Scopus,2-s2.0-77952775707
"Dittrich J., Quiané-Ruiz J.-A., Jindal A., Kargin Y., Setty V., Schad J.","Hadoop++: Making a yellow elephant run like a cheetah (without it even noticing)",2010,"Proceedings of the VLDB Endowment","3","1",,"518","529",,267,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053521271&partnerID=40&md5=f265957f72428e15bd0808aa34f53317",,"Computing paradigm; Glue-codes; Hadoopdb; Join processing; Large clusters; Map-reduce; Open source implementation; Parallel dbms; Task performance; Very large datum; Working systems; Indexing (materials working)","English",Article,,Scopus,2-s2.0-80053521271
"Taylor R.C.","An overview of the Hadoop/MapReduce/HBase framework and its current applications in bioinformatics",2010,"BMC Bioinformatics","11","SUPPL. 12", S1,"","",,235,10.1186/1471-2105-11-S12-S1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650811522&doi=10.1186%2f1471-2105-11-S12-S1&partnerID=40&md5=d970473f40917377f153be74381fe7f5",,"Apache software foundations; Associated softwares; Bioinformatics software; Data analysis algorithms; Map-reduce programming; Next-generation sequencing; Open Source Software; Open source software projects; Computer operating systems; Data warehouses; Software engineering; Bioinformatics; algorithm; article; biology; cluster analysis; computer program; high throughput sequencing; methodology; Algorithms; Cluster Analysis; Computational Biology; High-Throughput Nucleotide Sequencing; Software","English",Article,,Scopus,2-s2.0-78650811522
"Aji A., Wang F., Vo H., Lee H., Liu Q., Zhang X., Saltz J.","Hadoop gis: A high performance spatial data warehousing system over mapreduce",2013,"Proceedings of the VLDB Endowment","6","11",,"1009","1020",,227,10.14778/2536222.2536227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891059308&doi=10.14778%2f2536222.2536227&partnerID=40&md5=a9a091141580ad023266edb281e2b18f",,"Cost effectiveness; Image reconstruction; Imaging techniques; Indexing (materials working); Indexing (of information); Location based services; Multiprocessing systems; Query languages; Telecommunication services; Titanium alloys; Titanium compounds; Warehouses; Commodity clusters; High-resolution imaging; Integrated architecture; Integrated software; Massive spatial data; Scientific applications; Spatial partitioning; Ubiquitous positioning; Data warehouses","English",Article,,Scopus,2-s2.0-84891059308
"Borthakur D., Gray J., Sarma J.S., Muthukkaruppan K., Spiegelberg N., Kuang H., Ranganathan K., Molkov D., Menon A., Rash S., Schmidt R., Aiyer A.","Apache hadoop goes realtime at Facebook",2011,"Proceedings of the ACM SIGMOD International Conference on Management of Data",,,,"1071","1080",,225,10.1145/1989323.1989438,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960018131&doi=10.1145%2f1989323.1989438&partnerID=40&md5=cebde579a9ad06989a40790ee254e521","data; distributed systems; hadoop; HBase; hive; scalability; scribe","data; Distributed systems; hadoop; HBase; hive; scribe; Computer software; Scalability; User interfaces; Social networking (online)","English",Conference Paper,,Scopus,2-s2.0-79960018131
"Wang L., Tao J., Ranjan R., Marten H., Streit A., Chen J., Chen D.","G-Hadoop: MapReduce across distributed data centers for data-intensive computing",2013,"Future Generation Computer Systems","29","3",,"739","750",,214,10.1016/j.future.2012.09.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870312247&doi=10.1016%2fj.future.2012.09.001&partnerID=40&md5=c75ac2da4955e8639745b556b0046f1b","Cloud computing; Data-intensive computing; Hadoop; MapReduce; Massive data processing","Cluster environments; Computational requirements; Computing center; Data centers; Data-intensive computing; Distributed data; Distributed data processing; Hadoop; Large Hadron collider LHC; Map-reduce; Multiple clusters; Petabytes; Programming models; Scientific data; Work-flow systems; Cloud computing; High energy physics; Data processing","English",Article,,Scopus,2-s2.0-84870312247
"Xie J., Yin S., Ruan X., Ding Z., Tian Y., Majors J., Manzanares A., Qin X.","Improving MapReduce performance through data placement in heterogeneous Hadoop clusters",2010,"Proceedings of the 2010 IEEE International Symposium on Parallel and Distributed Processing, Workshops and Phd Forum, IPDPSW 2010",,, 5470880,"","",,202,10.1109/IPDPSW.2010.5470880,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954042005&doi=10.1109%2fIPDPSW.2010.5470880&partnerID=40&md5=5a84a946e63bf8cf80c3458966a38efa",,"Computing nodes; Data centers; Data locality; Data placement; Data-intensive application; Distributed processing; Heterogeneous environments; Map task; Open source implementation; Processing performance; Rebalancing; Response time; Web indexing; Cluster computing; Distributed parameter networks; Indexing (materials working); Data processing","English",Conference Paper,,Scopus,2-s2.0-77954042005
"Leverich J., Kozyrakis C.","On the energy (In)efficiency of Hadoop clusters",2010,"Operating Systems Review (ACM)","44","1",,"61","65",,197,10.1145/1740390.1740405,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958131933&doi=10.1145%2f1740390.1740405&partnerID=40&md5=782ba8c77d4b4cf354dbda67e51a8717",,"Data analysis; Datacenter; Distributed processing frameworks; Energy consumption; Filesystem; Map-reduce; Scale-down; Data reduction; Energy utilization; Internet; Energy efficiency","English",Article,,Scopus,2-s2.0-77958131933
